point_id,utm_easting,utm_northing,utm_zone,elevation,array,Ellipsoidal_Ht,Ortho_Ht,mic_type,notes
SBT-3-9-2,438672.2038,6108550.639,12,673.4076,SBT-3-9,650.5176,673.4076,ARU,
SBT-3-9-3,438711.0646,6108547.985,12,676.9545,SBT-3-9,654.0645,676.9545,EXTMIC,
SBT-3-9-4,438745.1773,6108539.458,12,677.591,SBT-3-9,654.701,677.591,ARU,
SBT-3-9-5,438779.8315,6108547.769,12,674.1409,SBT-3-9,651.2509,674.1409,EXTMIC,
SBT-3-9-6,438636.7147,6108506.052,12,677.1851,SBT-3-9,654.2951,677.1851,EXTMIC,
SBT-3-9-7,438671.4005,6108507.106,12,677.9323,SBT-3-9,655.0423,677.9323,ARU,
SBT-3-9-8,438707.6698,6108512.613,12,677.6193,SBT-3-9,654.7293,677.6193,EXTMIC,
SBT-3-9-9,438743.6244,6108508.419,12,675.2917,SBT-3-9,652.4017,675.2917,ARU,
SBT-3-9-10,438779.3703,6108522.498,12,674.9966,SBT-3-9,652.1066,674.9966,EXTMIC,
SBT-3-9-11,438640.8131,6108480.174,12,677.8575,SBT-3-9,654.9675,677.8575,EXTMIC,
SBT-3-9-12,438677.8022,6108479.898,12,676.278,SBT-3-9,653.388,676.278,ARU,
SBT-3-9-13,438707.7668,6108476.644,12,674.5243,SBT-3-9,651.6343,674.5243,EXTMIC,
SBT-3-9-14,438745.0122,6108475.124,12,673.6418,SBT-3-9,650.7518,673.6418,ARU,
SBT-3-9-15,438778.8961,6108472.686,12,680.1927,SBT-3-9,657.3027,680.1927,EXTMIC,
SBT-3-9-16,438639.1774,6108441.624,12,676.8629,SBT-3-9,653.9729,676.8629,EXTMIC,
SBT-3-9-17,438674.6456,6108442.529,12,675.5228,SBT-3-9,652.6328,675.5228,EXTMIC,
SBT-3-9-18,438712.274,6108438.778,12,674.8229,SBT-3-9,651.9329,674.8229,EXTMIC,
SBT-3-9-19,438746.5871,6108437.646,12,674.8304,SBT-3-9,651.9404,674.8304,ARU,
SBT-3-9-20,438780.6385,6108437.247,12,672.8213,SBT-3-9,649.9313,672.8213,EXTMIC,
SBT-3-9-21,438636.4088,6108401.018,12,674.9981,SBT-3-9,652.1081,674.9981,EXTMIC,
SBT-3-9-22,438676.1689,6108405.511,12,678.0967,SBT-3-9,655.2067,678.0967,ARU,
SBT-3-9-23,438709.2932,6108403.372,12,678.0489,SBT-3-9,655.1589,678.0489,EXTMIC,
SBT-3-9-24,438744.0761,6108402.606,12,674.2537,SBT-3-9,651.3637,674.2537,ARU,
SBT-3-9-25,438781.5167,6108402.348,12,674.7704,SBT-3-9,651.8804,674.7704,EXTMIC,
SBT-3-9-26,438468.575,6108545.045,12,677.5902,SBT-3-9,654.7002,677.5902,ARU,
SBT-3-9-27,438500.1148,6108541.48,12,683.4049,SBT-3-9,660.5149,683.4049,EXTMIC,
SBT-3-9-28,438529.9514,6108541.569,12,677.239,SBT-3-9,654.349,677.239,ARU,
SBT-3-9-29,438570.6842,6108545.75,12,677.9591,SBT-3-9,655.0691,677.9591,EXTMIC,
